City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
592,Massaguet,TD,12.4755,15.4365,64.56,21,5,16.6,clear sky,2022-01-27 02:03:11
593,Black Forest,US,39.0131,-104.7008,28.29,45,0,1.01,clear sky,2022-01-27 02:03:12
594,Kyzyl-Suu,KG,42.3414,78.0056,11.86,48,12,11.25,few clouds,2022-01-27 02:03:12
595,Labuhan,ID,-6.8844,112.2051,82.42,76,100,10.33,overcast clouds,2022-01-27 02:03:12
596,Pula,HR,44.8683,13.8481,36.46,93,100,3.44,overcast clouds,2022-01-27 02:00:54
597,Dwarka,IN,22.2394,68.9678,64.2,43,0,9.66,clear sky,2022-01-27 02:03:13
598,Ahuimanu,US,21.4447,-157.8378,80.31,59,20,5.01,few clouds,2022-01-27 02:03:13
599,Srivardhan,IN,18.0333,73.0167,66.18,59,3,5.53,clear sky,2022-01-27 02:04:14
600,Yining,CN,29.0361,114.5636,42.67,95,100,3.4,overcast clouds,2022-01-27 02:04:14
601,Koumac,NC,-20.5667,164.2833,83.07,70,57,11.74,broken clouds,2022-01-27 02:04:00
602,Salinas,US,36.6777,-121.6555,59.81,74,0,8.05,clear sky,2022-01-27 02:04:15
603,Mongar,BT,27.2747,91.2396,37.65,79,9,5.44,clear sky,2022-01-27 02:04:15
604,Nalut,LY,30.3333,10.85,38.19,54,94,8.93,overcast clouds,2022-01-27 02:04:15
605,Samandag,TR,36.0842,35.9771,39.72,92,100,5.91,overcast clouds,2022-01-27 02:04:16
606,Dallas,US,32.7668,-96.7836,48.15,34,100,4.61,overcast clouds,2022-01-27 02:02:13
607,Ipora,BR,-16.4419,-51.1178,68.63,92,10,0.85,clear sky,2022-01-27 02:02:41
608,Khani,GE,41.9563,42.9566,29.77,98,100,0.65,light snow,2022-01-27 02:04:16
609,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,18.19,38,75,8.95,broken clouds,2022-01-27 02:04:17
